model,cv_mae,cv_rmse,cv_target_mae,cv_target_rmse,cv_mae_rel_pct,cv_rmse_rel_pct,full_mae,full_rmse,paper_full_mae,paper_full_rmse,full_mae_rel_pct,full_rmse_rel_pct,seg_test_mae
STGAT,25.799427804612407,45.43166697230324,25.38192804812382,44.7822111235735,1.644870144210521,1.4502540907093986,22.98650635387279,40.82002908971373,22.28,42.65,3.1710339042764355,-4.290670364094422,54.23;16.25;38.78;41.55;22.99
A3TGCN,35.17934951782227,60.10638580322266,34.02748489379883,58.52167510986328,3.3851006843980844,2.7079038499571046,19.602649688720703,31.620168685913086,18.65,30.55,5.108041226384475,3.503007155198315,64.27;24.95;43.82;39.53;19.60
ASTGCN,34.326583245198016,48.82121985414248,33.67945502916908,47.72269138467796,1.9214331570046925,2.3018996573550687,22.12928047878838,33.2028641809016,20.62,32.41,7.319497957266635,2.446356621109543,49.12;71.49;26.60;29.19;22.13
DCRNN,45.81353501191642,71.32110395219658,45.97544632682798,71.60834584214274,-0.3521690986109611,-0.4011290675242948,25.458187992808575,35.750914451340186,26.2,36.3,-2.8313435388985644,-1.5126323654540241,73.10;40.45;60.77;48.83;25.46
AAGCN,41.92962081576419,55.82905156884429,41.930203246294084,55.83017146663277,-0.001389047714542842,-0.002005900678895003,40.966053264464215,50.2549028537924,39.27,49.2,4.318954072992644,2.144111491447965,62.99;32.73;40.31;47.55;40.97
