model,bias on rising weeks,bias on falling weeks,share of squared error in the top 5% of cells
AAGCN,-11.464216232299805,10.131294250488281,0.5933231115341187
ASTGCN,-11.494327545166016,10.616012573242188,0.6139100790023804
LSTM,-11.456708908081055,11.078514099121094,0.6180263757705688
STGAT,-5.708439350128174,11.44784927368164,0.5419954657554626
A3TGCN,-6.36124324798584,10.949309349060059,0.5866848826408386
SEIR-LSTM,-12.809819221496582,11.613082885742188,0.6731990575790405
k-NN,-11.565950474502033,13.032706804770182,0.6345762539116667
persistence,-14.660964012145996,13.708181381225586,0.6537445783615112
