,AAGCN,ASTGCN,LSTM,STGAT,A3TGCN,SEIR-LSTM,k-NN
AAGCN,0.9999999999999999,0.9589186201777974,0.9721213454286799,0.6565359603639076,0.5822864178802305,0.913041610506323,0.9120196383306853
ASTGCN,0.9589186201777974,1.0,0.9693882576106702,0.6552080624594472,0.5566958124441604,0.9195553965032635,0.9120162938867545
LSTM,0.9721213454286799,0.9693882576106703,1.0,0.6089915430567895,0.529093067966103,0.9245138235924015,0.9318760104896582
STGAT,0.6565359603639077,0.6552080624594473,0.6089915430567895,1.0,0.5552758150473358,0.5951244371941615,0.5786841631935504
A3TGCN,0.5822864178802306,0.5566958124441604,0.529093067966103,0.5552758150473358,1.0,0.6211729784260369,0.46973044044477913
SEIR-LSTM,0.913041610506323,0.9195553965032635,0.9245138235924016,0.5951244371941615,0.6211729784260369,1.0,0.9251693333039438
k-NN,0.9120196383306854,0.9120162938867545,0.9318760104896582,0.5786841631935503,0.46973044044477913,0.9251693333039437,1.0
