origin,targets below the lambda=0 floor (%),cells needing lambda = 0 (%),r2 of log lambda* on log cases[t-1],r2 of log cases[t] on log cases[t-1],S at its 0.01 clamp (%)
0.55,14.34391587972641,40.269842743873596,0.2157714521591666,0.8056316183139481,0.6984126754105091
0.7,13.99402916431427,39.43880498409271,0.25423591046755967,0.8243338988338446,2.4955224245786667
0.85,16.30569100379944,41.11219644546509,0.2588294359702058,0.8237130813089573,4.858536645770073
