encoder,SEIR - gated (val),wins,p,SEIR - gated (test),test wins,share of repair from anchor+gate,p_adj
AAGCN,0.8629327350192599,1/9,0.0078125,2.0501581827799478,0/9,-0.1955880871864921,
ASTGCN,0.7500917646620009,0/9,0.00390625,0.9536853366427951,3/9,-0.09946897794602225,
LSTM,0.745767805311415,0/9,0.00390625,-0.32566388448079425,6/9,0.042872893043452494,
STGAT,0.6561537848578559,1/9,0.0078125,-0.6194455888536241,8/9,1.1238335541831346,0.0234375
A3TGCN,-0.002910825941297743,6/9,0.984375,-1.6550771925184462,9/9,0.9997342143471407,0.984375
DCRNN,-0.6795942518446181,3/9,0.25,-3.50175412495931,9/9,0.9599405610913353,0.375
