,validation residual variance a linear model recovers
AAGCN,0.06642470077972362
ASTGCN,0.032416724867688984
LSTM,0.06263983590612421
STGAT,0.4792230820729134
A3TGCN,0.603639954579719
SEIR-LSTM,0.06278939277217621
