horizon,arm,origin,seed,val_RMSE,test_RMSE,test_MAE,pers_RMSE,pers_MAE,elapsed
3,direct,0.5,1,33.13393783569336,30.17807388305664,17.05601692199707,20.270668029785156,11.64380931854248,64.1
3,direct,0.5,0,34.25249481201172,29.34634017944336,15.00336742401123,20.270668029785156,11.64380931854248,110.9
3,direct,0.5,2,31.084095001220703,28.374330520629883,13.960725784301758,20.270668029785156,11.64380931854248,121.4
3,physics,0.5,2,23.513086318969727,20.515586853027344,11.43614673614502,20.270668029785156,11.64380931854248,127.4
3,physics,0.5,1,23.509620666503906,20.491090774536133,11.444435119628906,20.270668029785156,11.64380931854248,130.3
3,physics,0.5,0,22.50408172607422,20.133182525634766,11.114484786987305,20.270668029785156,11.64380931854248,195.5
3,physics,0.55,1,20.010026931762695,48.51036071777344,23.390460968017578,45.49281311035156,22.0325927734375,118.9
3,physics,0.55,2,19.98867416381836,51.20710754394531,24.562973022460938,45.49281311035156,22.0325927734375,118.2
3,direct,0.55,0,27.156261444091797,80.05389404296875,42.68519973754883,45.49281311035156,22.0325927734375,122.6
3,physics,0.55,0,19.098892211914062,50.3128547668457,23.486047744750977,45.49281311035156,22.0325927734375,196.6
3,direct,0.55,1,25.217554092407227,76.22482299804688,42.26472473144531,45.49281311035156,22.0325927734375,178.0
3,direct,0.55,2,25.63471794128418,81.3301010131836,43.25292205810547,45.49281311035156,22.0325927734375,113.8
3,direct,0.6,0,63.842891693115234,169.95126342773438,87.01177978515625,48.71405792236328,23.578571319580078,95.7
3,direct,0.6,1,64.50360107421875,97.7123031616211,55.04927444458008,48.71405792236328,23.578571319580078,71.9
3,physics,0.6,1,43.25143051147461,53.75235366821289,27.219223022460938,48.71405792236328,23.578571319580078,152.5
3,physics,0.6,2,43.5330810546875,56.09769821166992,27.870542526245117,48.71405792236328,23.578571319580078,152.7
3,physics,0.6,0,42.93644332885742,53.62188720703125,25.844099044799805,48.71405792236328,23.578571319580078,215.2
3,direct,0.6,2,73.89696502685547,103.15450286865234,50.725955963134766,48.71405792236328,23.578571319580078,164.0
3,physics,0.65,1,51.166358947753906,12.634556770324707,5.939936637878418,11.340509414672852,5.244285583496094,125.4
3,physics,0.65,2,52.84534454345703,12.210723876953125,5.352240085601807,11.340509414672852,5.244285583496094,133.2
3,physics,0.65,0,47.694091796875,11.74209213256836,5.210839748382568,11.340509414672852,5.244285583496094,223.1
