arm,origin,seed,val_RMSE,test_RMSE,test_MAE,bias,pers_RMSE,pers_MAE,elapsed,cap_c,damp_alpha
v2,0.55,0,20.258729934692383,48.18746566772461,23.163799285888672,-14.003308296203613,45.49281311035156,22.0325927734375,71.3,,
v2,0.55,1,20.25840187072754,48.18941879272461,23.164894104003906,-14.00727367401123,45.49281311035156,22.0325927734375,71.2,,
v2,0.55,2,20.25876808166504,48.19464874267578,23.167043685913086,-14.013687133789062,45.49281311035156,22.0325927734375,71.3,,
v2,0.6,0,41.73818588256836,64.38764953613281,32.70820236206055,22.597509384155273,48.71405792236328,23.578571319580078,48.7,,
v2,0.6,2,41.909446716308594,64.46592712402344,32.850589752197266,22.926801681518555,48.71405792236328,23.578571319580078,49.0,,
v2,0.6,1,41.8203125,65.70359802246094,33.686309814453125,24.162246704101562,48.71405792236328,23.578571319580078,49.5,,
v2,0.5,1,22.481033325195312,19.228870391845703,10.898445129394531,-1.8829007148742676,20.270668029785156,11.64380931854248,155.1,,
v2,0.5,2,22.245962142944336,19.0894832611084,10.962285041809082,-1.047727108001709,20.270668029785156,11.64380931854248,206.7,,
v2,0.5,0,22.317636489868164,19.8564395904541,11.166616439819336,-2.468397378921509,20.270668029785156,11.64380931854248,256.7,,
v2,0.65,1,46.703155517578125,11.551105499267578,5.2488627433776855,0.26886239647865295,11.340509414672852,5.244285583496094,211.3,,
v2,0.65,0,46.97503662109375,11.345667839050293,5.163853168487549,0.11896562576293945,11.340509414672852,5.244285583496094,298.4,,
v2,0.65,2,46.728843688964844,11.261563301086426,5.089580059051514,-0.18391519784927368,11.340509414672852,5.244285583496094,312.6,,
v2,0.7,0,11.6294584274292,15.130611419677734,6.274700164794922,-0.8029168248176575,15.7118501663208,6.584691524505615,314.9,,
v2,0.7,1,11.685734748840332,15.259988784790039,6.27984094619751,-0.8367811441421509,15.7118501663208,6.584691524505615,268.4,,
v2,0.7,2,11.60765266418457,15.315462112426758,6.295138359069824,-0.7966533303260803,15.7118501663208,6.584691524505615,305.3,,
v2,0.8,0,27.420331954956055,20.30377197265625,12.369902610778809,-2.067302942276001,21.96774673461914,12.876190185546875,98.1,,
v2,0.8,1,27.41950798034668,20.30362892150879,12.369940757751465,-2.0694198608398438,21.96774673461914,12.876190185546875,99.4,,
v2,0.8,2,27.420421600341797,20.303770065307617,12.369974136352539,-2.067263126373291,21.96774673461914,12.876190185546875,100.4,,
v2,0.75,0,15.509575843811035,28.349964141845703,11.179983139038086,-2.021599531173706,29.548784255981445,10.929333686828613,352.0,,
v2,0.75,1,15.008676528930664,27.91749382019043,11.104628562927246,-1.9575247764587402,29.548784255981445,10.929333686828613,358.9,,
v2,0.75,2,15.540787696838379,28.32121467590332,11.196125030517578,-2.076861619949341,29.548784255981445,10.929333686828613,357.8,,
v2,0.85,1,21.067930221557617,30.434329986572266,14.679856300354004,-4.164400577545166,30.963665008544922,15.473650932312012,231.2,,
v2,0.85,0,21.071712493896484,30.41762351989746,14.695502281188965,-4.279984951019287,30.963665008544922,15.473650932312012,239.1,,
waning_26w,0.5,0,23.61170768737793,20.476646423339844,11.386096954345703,-1.3303245306015015,20.270668029785156,11.64380931854248,78.0,,
waning_26w,0.5,1,23.606719970703125,20.477022171020508,11.383468627929688,-1.3647825717926025,20.270668029785156,11.64380931854248,78.1,,
v2,0.85,2,21.071557998657227,30.416563034057617,14.696451187133789,-4.273343086242676,30.963665008544922,15.473650932312012,247.9,,
waning_26w,0.5,2,23.611408233642578,20.47612762451172,11.385941505432129,-1.3309822082519531,20.270668029785156,11.64380931854248,72.9,,
