label,fold,origin,seed,model,lambda_phys,gate_sigma,shrink_gamma,temporal,augment,n_train_windows,n_real_windows,n_test_weeks,n_params,train_seconds,infer_ms_per_window,horizon,rmse,mae,smape,mape,peak_week_err,n_obs
lstm,3,0.55,1,lstm,0.0,nan,1.0,none,none,0,0,34,19907,72.499,0.7043,2,23.941719991042724,13.065981026804623,56.481424562293434,66.57218612401327,4.458333333333333,850
lstm,3,0.55,1,lstm,0.0,nan,1.0,none,none,0,0,34,19907,72.499,0.7043,3,28.679812092821415,15.326625259584365,60.2442543216004,71.35603938436785,4.75,850
lstm,3,0.55,2,lstm,0.0,nan,1.0,none,none,0,0,34,19907,72.492,0.989,0,22.617058525200466,12.590887263352965,54.29183797474867,71.22194108557808,nan,2550
lstm,3,0.55,2,lstm,0.0,nan,1.0,none,none,0,0,34,19907,72.492,0.989,1,16.861557073663427,9.908521078316605,48.90118454114488,61.35316277240045,3.25,850
lstm,3,0.55,2,lstm,0.0,nan,1.0,none,none,0,0,34,19907,72.492,0.989,2,22.808840724746386,12.830482237812351,55.09804667385689,73.42658654859069,4.75,850
lstm,3,0.55,2,lstm,0.0,nan,1.0,none,none,0,0,34,19907,72.492,0.989,3,27.01922809485442,15.033658473929938,58.87628270924425,78.90727455383663,5.541666666666667,850
lstm,4,0.625,0,lstm,0.0,nan,1.0,none,none,0,0,34,19907,34.391,1.0052,0,31.247321583110903,14.469760345479145,52.422717283733355,59.108839538486876,nan,2550
lstm,4,0.625,0,lstm,0.0,nan,1.0,none,none,0,0,34,19907,34.391,1.0052,1,26.648618007409247,12.657089965505635,50.76457318650039,57.41754456705422,2.0833333333333335,850
lstm,4,0.625,0,lstm,0.0,nan,1.0,none,none,0,0,34,19907,34.391,1.0052,2,29.610816429969187,14.16555987238884,51.81885179511572,58.190140978808216,2.75,850
lstm,4,0.625,0,lstm,0.0,nan,1.0,none,none,0,0,34,19907,34.391,1.0052,3,36.63653950635753,16.58663119854296,54.68472686958393,61.718833069598176,3.4583333333333335,850
lstm,4,0.625,1,lstm,0.0,nan,1.0,none,none,0,0,34,19907,34.595,1.0489,0,31.96774116176793,14.439692825912385,52.33557169409856,55.84642839124909,nan,2550
lstm,4,0.625,1,lstm,0.0,nan,1.0,none,none,0,0,34,19907,34.595,1.0489,1,26.585106347946734,12.542630231402375,50.70085251995033,56.71019255847531,2.0833333333333335,850
lstm,4,0.625,1,lstm,0.0,nan,1.0,none,none,0,0,34,19907,34.595,1.0489,2,30.00360488190875,14.0575080372363,51.50675048843326,55.75473325166165,2.75,850
lstm,4,0.625,1,lstm,0.0,nan,1.0,none,none,0,0,34,19907,34.595,1.0489,3,38.194570812041306,16.718940209098474,54.799112073912084,55.07435936361033,3.2916666666666665,850
lstm,4,0.625,2,lstm,0.0,nan,1.0,none,none,0,0,34,19907,108.33,0.9768,0,31.58544859012655,14.226542141782668,50.92340424213611,53.32464508077579,nan,2550
lstm,4,0.625,2,lstm,0.0,nan,1.0,none,none,0,0,34,19907,108.33,0.9768,1,26.224575594164595,12.23881137682125,48.85122333549646,50.95713224161922,4.958333333333333,850
lstm,4,0.625,2,lstm,0.0,nan,1.0,none,none,0,0,34,19907,108.33,0.9768,2,30.074714876418664,13.864961620689753,50.09279470724598,53.575522813589494,5.708333333333333,850
lstm,4,0.625,2,lstm,0.0,nan,1.0,none,none,0,0,34,19907,108.33,0.9768,3,37.425991609129746,16.575853427837,53.826194683665875,55.44128018711867,5.833333333333333,850
lstm,5,0.7,0,lstm,0.0,nan,1.0,none,none,0,0,34,19907,39.989,1.1792,0,56.98101289236402,28.67632331816242,50.439182818968106,57.451651974684495,nan,2550
lstm,5,0.7,0,lstm,0.0,nan,1.0,none,none,0,0,34,19907,39.989,1.1792,1,44.776638796636576,22.385311603809917,44.84545241462408,42.49579199247167,1.2,850
lstm,5,0.7,0,lstm,0.0,nan,1.0,none,none,0,0,34,19907,39.989,1.1792,2,54.79114008797693,28.032501180194977,47.85384125893774,51.922752268098634,2.16,850
lstm,5,0.7,0,lstm,0.0,nan,1.0,none,none,0,0,34,19907,39.989,1.1792,3,68.80037119561558,35.611157170482365,58.61825478334253,78.21077089160555,4.125,850
lstm,5,0.7,1,lstm,0.0,nan,1.0,none,none,0,0,34,19907,112.834,0.4423,0,56.414445783523405,29.371575074112044,53.446945988315754,58.723640634742544,nan,2550
lstm,5,0.7,1,lstm,0.0,nan,1.0,none,none,0,0,34,19907,112.834,0.4423,1,42.374052061574055,22.179377541397425,45.313287591003395,41.95471375410556,2.08,850
lstm,5,0.7,1,lstm,0.0,nan,1.0,none,none,0,0,34,19907,112.834,0.4423,2,55.50333148008884,29.861178116734305,52.670101418837845,55.788285731165935,2.76,850
lstm,5,0.7,1,lstm,0.0,nan,1.0,none,none,0,0,34,19907,112.834,0.4423,3,68.34902329719641,36.074169564204404,62.35744895510602,78.69793060054285,4.291666666666667,850
lstm,5,0.7,2,lstm,0.0,nan,1.0,none,none,0,0,34,19907,38.906,1.0217,0,55.90627851371808,28.604529519597474,52.090130249206545,59.87191519392332,nan,2550
lstm,5,0.7,2,lstm,0.0,nan,1.0,none,none,0,0,34,19907,38.906,1.0217,1,38.75912769152962,21.19410744910505,45.849351012749835,43.07946536621109,1.0,850
lstm,5,0.7,2,lstm,0.0,nan,1.0,none,none,0,0,34,19907,38.906,1.0217,2,55.91645952006119,28.67177020165234,49.93744653916086,54.457814196680424,2.16,850
lstm,5,0.7,2,lstm,0.0,nan,1.0,none,none,0,0,34,19907,38.906,1.0217,3,68.90294265917318,35.947710908035035,60.48359319570892,82.37736980515248,4.125,850
lstm,6,0.775,0,lstm,0.0,nan,1.0,none,none,0,0,34,19907,103.66,0.3264,0,11.383790183576396,5.707989580033429,95.82580824784318,92.28897116905453,nan,2550
lstm,6,0.775,0,lstm,0.0,nan,1.0,none,none,0,0,34,19907,103.66,0.3264,1,9.2263846582429,4.8329057071801715,91.17986616199703,76.16444512478388,4.642857142857143,850
lstm,6,0.775,0,lstm,0.0,nan,1.0,none,none,0,0,34,19907,103.66,0.3264,2,11.449454247006157,5.69876948273412,95.4769290904485,92.86031088138374,6.142857142857143,850
lstm,6,0.775,0,lstm,0.0,nan,1.0,none,none,0,0,34,19907,103.66,0.3264,3,13.136051934082925,6.592293550185996,100.82062949108396,107.89569922338025,5.428571428571429,850
lstm,6,0.775,1,lstm,0.0,nan,1.0,none,none,0,0,34,19907,44.547,0.8582,0,10.452617671703056,5.280656643433304,81.90272673706689,85.80537406073464,nan,2550
lstm,6,0.775,1,lstm,0.0,nan,1.0,none,none,0,0,34,19907,44.547,0.8582,1,8.425093481375832,4.4462920644708825,75.28447189420173,71.65834303424894,2.2142857142857144,850
lstm,6,0.775,1,lstm,0.0,nan,1.0,none,none,0,0,34,19907,44.547,0.8582,2,10.231308170508912,5.211032660183607,79.00013961194666,86.025183111412,4.214285714285714,850
lstm,6,0.775,1,lstm,0.0,nan,1.0,none,none,0,0,34,19907,44.547,0.8582,3,12.333279430976704,6.184645205645425,91.42356870505228,99.77782595631916,5.357142857142857,850
lstm,6,0.775,2,lstm,0.0,nan,1.0,none,none,0,0,34,19907,44.294,0.7484,0,10.449317495415848,5.287715477819016,88.33488742948056,86.73348557208206,nan,2550
lstm,6,0.775,2,lstm,0.0,nan,1.0,none,none,0,0,34,19907,44.294,0.7484,1,8.584885609251762,4.504304969077622,94.1712780099256,73.69434437794217,2.5714285714285716,850
lstm,6,0.775,2,lstm,0.0,nan,1.0,none,none,0,0,34,19907,44.294,0.7484,2,10.020751057811422,5.119692890752237,76.27871616424584,84.52207427362627,4.357142857142857,850
lstm,6,0.775,2,lstm,0.0,nan,1.0,none,none,0,0,34,19907,44.294,0.7484,3,12.387453155247227,6.2391485736271886,94.5546681142702,102.01075533164592,6.071428571428571,850
lstm,7,0.85,0,lstm,0.0,nan,1.0,none,none,0,0,34,19907,80.515,0.803,0,81.73699812194023,20.159813136722008,95.86027450035384,334.6223180218698,nan,2550
lstm,7,0.85,0,lstm,0.0,nan,1.0,none,none,0,0,34,19907,80.515,0.803,1,82.88388770296643,19.421545486348194,94.21445001679459,358.79089601538607,2.56,850
lstm,7,0.85,0,lstm,0.0,nan,1.0,none,none,0,0,34,19907,80.515,0.803,2,81.71550886671719,20.12609924534062,96.74854527011263,272.5327951457408,3.32,850
lstm,7,0.85,0,lstm,0.0,nan,1.0,none,none,0,0,34,19907,80.515,0.803,3,80.59557900935816,20.931794678477214,96.61782821415431,372.573324119791,3.88,850
lstm,7,0.85,1,lstm,0.0,nan,1.0,none,none,0,0,34,19907,73.112,0.5948,0,85.18648552863931,20.848586055529942,95.40404657433159,372.0179499432705,nan,2550
lstm,7,0.85,1,lstm,0.0,nan,1.0,none,none,0,0,34,19907,73.112,0.5948,1,86.14783829411373,20.029276252079427,94.8628866861046,396.94910257678134,2.56,850
lstm,7,0.85,1,lstm,0.0,nan,1.0,none,none,0,0,34,19907,73.112,0.5948,2,85.08703030448677,20.772948324448592,94.7911359300653,295.96819256861994,3.32,850
lstm,7,0.85,1,lstm,0.0,nan,1.0,none,none,0,0,34,19907,73.112,0.5948,3,84.31464393198732,21.74353359006181,96.55811710682492,423.1329290005023,4.16,850
lstm,7,0.85,2,lstm,0.0,nan,1.0,none,none,0,0,34,19907,67.112,0.4176,0,84.4712616722525,20.77553625904994,96.79784544036235,367.54331020003417,nan,2550
lstm,7,0.85,2,lstm,0.0,nan,1.0,none,none,0,0,34,19907,67.112,0.4176,1,86.32983840272901,20.12531808257192,97.06204772213722,401.56103503022854,2.76,850
lstm,7,0.85,2,lstm,0.0,nan,1.0,none,none,0,0,34,19907,67.112,0.4176,2,84.19424505994039,20.707343751411777,96.84854076618589,293.6833858806728,3.32,850
lstm,7,0.85,2,lstm,0.0,nan,1.0,none,none,0,0,34,19907,67.112,0.4176,3,82.85330558071813,21.49394694316612,96.48294783276393,407.4668754905613,4.16,850
lstm,8,0.925,0,lstm,0.0,nan,1.0,none,none,0,0,34,19907,88.991,0.2875,0,23.202811482378355,10.052192542814632,81.73212055527101,90.53627535936738,nan,2550
lstm,8,0.925,0,lstm,0.0,nan,1.0,none,none,0,0,34,19907,88.991,0.2875,1,21.984916728916392,8.803377905750976,77.691697603719,78.56923798102487,1.2380952380952381,850
lstm,8,0.925,0,lstm,0.0,nan,1.0,none,none,0,0,34,19907,88.991,0.2875,2,23.161810064739385,10.000166522242019,81.8551912687219,90.13407079495802,2.9523809523809526,850
lstm,8,0.925,0,lstm,0.0,nan,1.0,none,none,0,0,34,19907,88.991,0.2875,3,24.398880568745692,11.353033200450898,85.64947279337214,102.8224672332962,5.714285714285714,850
lstm,8,0.925,1,lstm,0.0,nan,1.0,none,none,0,0,34,19907,80.314,0.2798,0,23.693310620747425,10.156436717665455,80.1500978529448,89.76412584788704,nan,2550
lstm,8,0.925,1,lstm,0.0,nan,1.0,none,none,0,0,34,19907,80.314,0.2798,1,22.4278009434816,8.88440930059166,77.57883977324376,78.66715064599748,1.2380952380952381,850
lstm,8,0.925,1,lstm,0.0,nan,1.0,none,none,0,0,34,19907,80.314,0.2798,2,23.59639692499298,10.079824285456972,79.77474750302505,89.29832553254666,2.9523809523809526,850
lstm,8,0.925,1,lstm,0.0,nan,1.0,none,none,0,0,34,19907,80.314,0.2798,3,24.986450358372554,11.505076566947734,83.09670628256556,101.24951051211633,4.9523809523809526,850
lstm,8,0.925,2,lstm,0.0,nan,1.0,none,none,0,0,34,19907,83.667,0.2326,0,23.420169409507423,10.096559277162374,79.88189946932145,89.0835975040445,nan,2550
lstm,8,0.925,2,lstm,0.0,nan,1.0,none,none,0,0,34,19907,83.667,0.2326,1,22.09065649267325,8.785721131388975,75.96604904822458,76.6727333559531,2.142857142857143,850
lstm,8,0.925,2,lstm,0.0,nan,1.0,none,none,0,0,34,19907,83.667,0.2326,2,23.40822737274897,10.041825914621484,78.62091983128046,88.3829405557979,3.6666666666666665,850
lstm,8,0.925,2,lstm,0.0,nan,1.0,none,none,0,0,34,19907,83.667,0.2326,3,24.689487489587158,11.462130785476663,85.05872952845928,102.10783112883803,5.666666666666667,850
random_forest,1,0.4,0,random_forest,0.0,nan,1.0,none,none,0,0,34,619692,43.238,2.8807,0,100.82417881339146,40.88503591329444,59.650556395196254,52.45793103105788,nan,2550
random_forest,1,0.4,0,random_forest,0.0,nan,1.0,none,none,0,0,34,619692,43.238,2.8807,1,67.0266311853874,29.323050534655067,52.3186117200798,47.46855169085666,3.0,850
random_forest,1,0.4,0,random_forest,0.0,nan,1.0,none,none,0,0,34,619692,43.238,2.8807,2,92.34271932585243,39.86319234798936,60.13937768116677,53.94656362699135,3.84,850
random_forest,1,0.4,0,random_forest,0.0,nan,1.0,none,none,0,0,34,619692,43.238,2.8807,3,132.19984114827483,53.468864857238884,66.49367978434219,55.92184614582916,6.48,850
random_forest,1,0.4,1,random_forest,0.0,nan,1.0,none,none,0,0,34,619182,43.111,3.157,0,99.95790497198239,40.57905944583463,59.51692628971056,52.34773646450002,nan,2550
random_forest,1,0.4,1,random_forest,0.0,nan,1.0,none,none,0,0,34,619182,43.111,3.157,1,66.06388755736604,29.132568998897778,52.17800389094749,47.26336786763079,3.08,850
random_forest,1,0.4,1,random_forest,0.0,nan,1.0,none,none,0,0,34,619182,43.111,3.157,2,91.48398527977488,39.52212067758336,60.043210198504404,53.822082781773396,3.56,850
random_forest,1,0.4,1,random_forest,0.0,nan,1.0,none,none,0,0,34,619182,43.111,3.157,3,131.30495610334444,53.082488661022744,66.3295647796798,55.92007126981987,6.76,850
