label,fold,origin,seed,model,lambda_phys,gate_sigma,n_test_weeks,n_params,train_seconds,infer_ms_per_window,horizon,rmse,mae,smape,mape,peak_week_err,n_obs
adaptive_lam0.01,8,0.925,2,AdaptiveGCN,0.01,0.8672152757644653,34,7032,146.016,0.8027,2,26.368217125364215,11.248928831895704,78.15212736796755,93.71522635554153,3.761904761904762,850
adaptive_lam0.01,8,0.925,2,AdaptiveGCN,0.01,0.8672152757644653,34,7032,146.016,0.8027,3,29.13753116499606,13.215929707203484,86.09233374125463,111.1578526349715,5.285714285714286,850
adaptive_lam0.1,1,0.4,0,AdaptiveGCN,0.1,0.868881344795227,34,7032,32.683,0.6243,0,140.41769062878555,53.47223937352636,70.10928904877612,61.65485715928563,nan,2550
adaptive_lam0.1,1,0.4,0,AdaptiveGCN,0.1,0.868881344795227,34,7032,32.683,0.6243,1,113.3417077795758,43.406981634712395,63.10086275754896,56.89944830301893,5.2,850
adaptive_lam0.1,1,0.4,0,AdaptiveGCN,0.1,0.868881344795227,34,7032,32.683,0.6243,2,129.17279697309507,50.96074452463537,69.1526569521043,63.81745740724184,5.8,850
adaptive_lam0.1,1,0.4,0,AdaptiveGCN,0.1,0.868881344795227,34,7032,32.683,0.6243,3,172.10296140485434,66.0489919612313,78.07434743667507,64.21525940574607,9.52,850
adaptive_lam0.1,1,0.4,1,AdaptiveGCN,0.1,0.8379101753234863,34,7032,41.623,0.9046,0,119.74305218029524,45.853508605634445,65.01966888053602,60.110246199547376,nan,2550
adaptive_lam0.1,1,0.4,1,AdaptiveGCN,0.1,0.8379101753234863,34,7032,41.623,0.9046,1,78.91948660380642,32.28392991666052,57.45539982629202,56.759936467359616,3.4,850
adaptive_lam0.1,1,0.4,1,AdaptiveGCN,0.1,0.8379101753234863,34,7032,41.623,0.9046,2,122.65170065216572,47.858159777861744,65.76824182896294,62.38077260217949,5.08,850
adaptive_lam0.1,1,0.4,1,AdaptiveGCN,0.1,0.8379101753234863,34,7032,41.623,0.9046,3,147.45667362883876,57.418436122381074,71.8353649863531,61.16990789800576,8.04,850
adaptive_lam0.1,1,0.4,2,AdaptiveGCN,0.1,0.8915566802024841,34,7032,26.893,0.5063,0,146.26231989054355,55.34451890806814,71.56599944955882,62.438675224813636,nan,2550
adaptive_lam0.1,1,0.4,2,AdaptiveGCN,0.1,0.8915566802024841,34,7032,26.893,0.5063,1,116.70657834697826,44.47477062127279,64.16077427507733,58.8061825592723,5.44,850
adaptive_lam0.1,1,0.4,2,AdaptiveGCN,0.1,0.8915566802024841,34,7032,26.893,0.5063,2,139.61398992089258,54.30711379003218,72.32771831726596,63.53523320589824,6.04,850
adaptive_lam0.1,1,0.4,2,AdaptiveGCN,0.1,0.8915566802024841,34,7032,26.893,0.5063,3,176.2540979614392,67.25167231289944,78.20950575633312,64.94784113694203,9.52,850
adaptive_lam0.1,2,0.475,0,AdaptiveGCN,0.1,0.8418232798576355,34,7032,52.522,0.923,0,141.74637657929446,44.9890298502118,43.5185025089128,46.99447411156587,nan,2550
adaptive_lam0.1,2,0.475,0,AdaptiveGCN,0.1,0.8418232798576355,34,7032,52.522,0.923,1,116.34013357020861,38.76248266914312,38.240332054720234,40.14878677195502,2.48,850
adaptive_lam0.1,2,0.475,0,AdaptiveGCN,0.1,0.8418232798576355,34,7032,52.522,0.923,2,142.11491689925876,45.67312527130632,42.680082962184606,46.37807438464096,2.72,850
adaptive_lam0.1,2,0.475,0,AdaptiveGCN,0.1,0.8418232798576355,34,7032,52.522,0.923,3,162.9246130443779,50.531481610185956,49.63509250983357,54.45656117810166,4.0,850
adaptive_lam0.1,2,0.475,1,AdaptiveGCN,0.1,0.8422917723655701,34,7032,51.789,0.8725,0,207.5097127216303,63.67200718429232,50.8913264225916,49.838519885380926,nan,2550
adaptive_lam0.1,2,0.475,1,AdaptiveGCN,0.1,0.8422917723655701,34,7032,51.789,0.8725,1,212.8964594747513,64.71072265155394,47.833491186348894,44.10529484333335,3.6,850
adaptive_lam0.1,2,0.475,1,AdaptiveGCN,0.1,0.8422917723655701,34,7032,51.789,0.8725,2,229.18349924353018,71.71773645215174,53.45363338623663,48.80674896257396,7.04,850
adaptive_lam0.1,2,0.475,1,AdaptiveGCN,0.1,0.8422917723655701,34,7032,51.789,0.8725,3,177.00526500374778,54.587562449171266,51.38685469518926,56.603515850235496,4.8,850
adaptive_lam0.1,2,0.475,2,AdaptiveGCN,0.1,0.9534314274787903,34,7032,40.987,0.5389,0,212.79245137863262,65.79196402669683,53.13078597086529,55.42407322713016,nan,2550
adaptive_lam0.1,2,0.475,2,AdaptiveGCN,0.1,0.9534314274787903,34,7032,40.987,0.5389,1,208.88636241751658,62.17642808954067,47.2135225386806,47.05196583888057,4.16,850
adaptive_lam0.1,2,0.475,2,AdaptiveGCN,0.1,0.9534314274787903,34,7032,40.987,0.5389,2,219.8132308603761,68.51399457396391,53.334337699430115,55.43881777682038,5.52,850
adaptive_lam0.1,2,0.475,2,AdaptiveGCN,0.1,0.9534314274787903,34,7032,40.987,0.5389,3,209.50062822312518,66.68546941658592,58.844497674485154,63.7814360656895,5.6,850
adaptive_lam0.1,3,0.55,0,AdaptiveGCN,0.1,0.9616860151290894,34,7032,47.36,0.561,0,21.62300877031029,12.227472894240773,56.86483147399984,68.56442698396073,nan,2550
adaptive_lam0.1,3,0.55,0,AdaptiveGCN,0.1,0.9616860151290894,34,7032,47.36,0.561,1,17.13008144083865,10.138157800344532,51.75477078090369,64.16897857113631,2.0416666666666665,850
adaptive_lam0.1,3,0.55,0,AdaptiveGCN,0.1,0.9616860151290894,34,7032,47.36,0.561,2,21.87674464787509,12.30557240420158,57.68738138162905,70.08434132932727,3.9583333333333335,850
adaptive_lam0.1,3,0.55,0,AdaptiveGCN,0.1,0.9616860151290894,34,7032,47.36,0.561,3,25.112384958116802,14.238688478176208,61.152342259466785,71.44875304958099,5.25,850
adaptive_lam0.1,3,0.55,1,AdaptiveGCN,0.1,0.9843898415565491,34,7032,164.029,1.7367,0,24.86362033338079,13.381717095920033,61.24348672793122,68.3707445318518,nan,2550
adaptive_lam0.1,3,0.55,1,AdaptiveGCN,0.1,0.9843898415565491,34,7032,164.029,1.7367,1,18.81319526187003,10.7462694707027,53.8034836469552,65.51491753613345,1.7083333333333333,850
adaptive_lam0.1,3,0.55,1,AdaptiveGCN,0.1,0.9843898415565491,34,7032,164.029,1.7367,2,25.71232607463469,13.897098653834204,63.91252528988439,70.36849993413541,4.0,850
adaptive_lam0.1,3,0.55,1,AdaptiveGCN,0.1,0.9843898415565491,34,7032,164.029,1.7367,3,28.97479629122407,15.501783163223196,66.01445124695408,69.23330693373775,5.125,850
adaptive_lam0.1,3,0.55,2,AdaptiveGCN,0.1,0.9810765981674194,34,7032,133.546,3.2912,0,24.138460130648472,12.6681820575283,58.67893200485944,62.84658871330828,nan,2550
adaptive_lam0.1,3,0.55,2,AdaptiveGCN,0.1,0.9810765981674194,34,7032,133.546,3.2912,1,20.728519652642156,10.95883095450535,53.45868011552295,57.66296091862522,2.4166666666666665,850
adaptive_lam0.1,3,0.55,2,AdaptiveGCN,0.1,0.9810765981674194,34,7032,133.546,3.2912,2,23.869934497138477,12.584261739774442,59.18734629803984,65.26024623316808,3.6666666666666665,850
adaptive_lam0.1,3,0.55,2,AdaptiveGCN,0.1,0.9810765981674194,34,7032,133.546,3.2912,3,27.359650446397588,14.461453478305108,63.390769601015506,65.62617639813094,3.5,850
