label,fold,origin,seed,model,lambda_phys,gate_sigma,shrink_gamma,temporal,spatial,window,hidden,lr,augment,n_train_windows,n_real_windows,n_test_weeks,n_params,train_seconds,infer_ms_per_window,horizon,rmse,mae,smape,mape,peak_week_err,n_obs
X_a3tgcn,2,0.475,2,AdaptiveGCN,0.0,0.7639012336730957,1.0,gru_attn,gcn,3,64,0.001,none,185,185,34,23865,54.213,0.9998,1,93.54220469246235,35.92993457468336,38.03089688332584,44.39998698114353,1.08,850
X_a3tgcn,2,0.475,2,AdaptiveGCN,0.0,0.7639012336730957,1.0,gru_attn,gcn,3,64,0.001,none,185,185,34,23865,54.213,0.9998,2,116.50035516233459,42.8209936200674,42.8630298095622,51.114736268129924,2.0,850
X_a3tgcn,2,0.475,2,AdaptiveGCN,0.0,0.7639012336730957,1.0,gru_attn,gcn,3,64,0.001,none,185,185,34,23865,54.213,0.9998,3,134.47062846486998,47.036653465934315,48.5007671391171,59.90611269745732,3.64,850
X_a3tgcn,3,0.55,0,AdaptiveGCN,0.0,0.7203253507614136,1.0,gru_attn,gcn,3,64,0.001,none,219,219,34,23865,88.698,1.1691,0,22.191389166757002,12.292173980734876,55.64100737258292,64.47382757815706,nan,2550
X_a3tgcn,3,0.55,0,AdaptiveGCN,0.0,0.7203253507614136,1.0,gru_attn,gcn,3,64,0.001,none,219,219,34,23865,88.698,1.1691,1,15.736606531139598,9.462601044598747,49.880702466537144,55.37983796085179,1.0416666666666667,850
X_a3tgcn,3,0.55,0,AdaptiveGCN,0.0,0.7203253507614136,1.0,gru_attn,gcn,3,64,0.001,none,219,219,34,23865,88.698,1.1691,2,21.866466758327693,12.24101308710435,57.01466378418263,65.46586966162522,2.625,850
X_a3tgcn,3,0.55,0,AdaptiveGCN,0.0,0.7203253507614136,1.0,gru_attn,gcn,3,64,0.001,none,219,219,34,23865,88.698,1.1691,3,27.415143731930797,15.172907810501535,60.027655867029,72.59656826453481,3.5416666666666665,850
X_a3tgcn,3,0.55,1,AdaptiveGCN,0.0,0.7859074473381042,1.0,gru_attn,gcn,3,64,0.001,none,219,219,34,23865,77.392,1.3936,0,22.15261538880026,12.312073945175456,55.82464031473877,65.21801531310096,nan,2550
X_a3tgcn,3,0.55,1,AdaptiveGCN,0.0,0.7859074473381042,1.0,gru_attn,gcn,3,64,0.001,none,219,219,34,23865,77.392,1.3936,1,15.633309729912874,9.52369056099115,50.022201846997596,56.917514780272235,1.0,850
X_a3tgcn,3,0.55,1,AdaptiveGCN,0.0,0.7859074473381042,1.0,gru_attn,gcn,3,64,0.001,none,219,219,34,23865,77.392,1.3936,2,21.54827760616495,12.118915468594608,56.74055952648464,65.58547009180764,2.5833333333333335,850
X_a3tgcn,3,0.55,1,AdaptiveGCN,0.0,0.7859074473381042,1.0,gru_attn,gcn,3,64,0.001,none,219,219,34,23865,77.392,1.3936,3,27.63125883467113,15.29361580594061,60.71115957073406,73.17069050650593,3.5416666666666665,850
X_a3tgcn,3,0.55,2,AdaptiveGCN,0.0,0.7842987179756165,1.0,gru_attn,gcn,3,64,0.001,none,219,219,34,23865,70.151,1.5507,0,21.859159735952414,12.137592781831923,55.62080908900593,63.61160464751019,nan,2550
X_a3tgcn,3,0.55,2,AdaptiveGCN,0.0,0.7842987179756165,1.0,gru_attn,gcn,3,64,0.001,none,219,219,34,23865,70.151,1.5507,1,15.61406834517965,9.328463368485956,49.98303729946619,54.13846907073404,1.0416666666666667,850
X_a3tgcn,3,0.55,2,AdaptiveGCN,0.0,0.7842987179756165,1.0,gru_attn,gcn,3,64,0.001,none,219,219,34,23865,70.151,1.5507,2,21.715751879439924,12.284026579024468,56.50278923477312,67.80339267383422,2.625,850
X_a3tgcn,3,0.55,2,AdaptiveGCN,0.0,0.7842987179756165,1.0,gru_attn,gcn,3,64,0.001,none,219,219,34,23865,70.151,1.5507,3,26.797305519553827,14.800288397985346,60.37660073277846,68.9107931690956,3.5416666666666665,850
X_a3tgcn,4,0.625,0,AdaptiveGCN,0.0,0.5938159227371216,1.0,gru_attn,gcn,3,64,0.001,none,253,253,34,23865,107.609,4.496,0,31.219532921322898,14.19773274295718,50.709614396630485,52.47533971763823,nan,2550
X_a3tgcn,4,0.625,0,AdaptiveGCN,0.0,0.5938159227371216,1.0,gru_attn,gcn,3,64,0.001,none,253,253,34,23865,107.609,4.496,1,26.45605165926316,12.389787637671928,49.04440305119006,52.44880146470354,2.5,850
X_a3tgcn,4,0.625,0,AdaptiveGCN,0.0,0.5938159227371216,1.0,gru_attn,gcn,3,64,0.001,none,253,253,34,23865,107.609,4.496,2,29.501671533856783,13.791441221096937,49.8270048677867,52.02434005728986,3.1666666666666665,850
X_a3tgcn,4,0.625,0,AdaptiveGCN,0.0,0.5938159227371216,1.0,gru_attn,gcn,3,64,0.001,none,253,253,34,23865,107.609,4.496,3,36.7927494866518,16.411969370102675,53.2574352709147,52.95287763092126,3.8333333333333335,850
