label,fold,origin,seed,model,lambda_phys,gate_sigma,shrink_gamma,resid_ratio,max_growth,temporal,spatial,window,hidden,lr,augment,n_train_windows,n_real_windows,n_test_weeks,n_params,train_seconds,infer_ms_per_window,horizon,rmse,mae,smape,mape,peak_week_err,n_obs
C_band0.3_new2.39,2,0.475,2,AdaptiveGCN,0.0,0.5728679299354553,1.0,0.6106,2.3884,none,gcn,3,64,0.001,none,185,185,34,7032,131.985,0.8,0,147.39690938624705,51.373466970584005,47.82826942036832,55.25413935956113,nan,2550
C_band0.3_new2.39,2,0.475,2,AdaptiveGCN,0.0,0.5728679299354553,1.0,0.6106,2.3884,none,gcn,3,64,0.001,none,185,185,34,7032,131.985,0.8,1,117.55424749556724,41.82880216928089,41.2417914762552,46.884421566640974,1.68,850
C_band0.3_new2.39,2,0.475,2,AdaptiveGCN,0.0,0.5728679299354553,1.0,0.6106,2.3884,none,gcn,3,64,0.001,none,185,185,34,7032,131.985,0.8,2,166.40913649551007,55.76817422161043,49.28828550540917,56.42770035396839,2.36,850
C_band0.3_new2.39,2,0.475,2,AdaptiveGCN,0.0,0.5728679299354553,1.0,0.6106,2.3884,none,gcn,3,64,0.001,none,185,185,34,7032,131.985,0.8,3,153.83934762089382,56.5234245208607,52.95473127944056,62.45029615807404,3.84,850
C_band0.3_new2.39,3,0.55,0,AdaptiveGCN,0.0,0.47386959195137024,1.0,0.3353,2.3884,none,gcn,3,64,0.001,none,219,219,34,7032,78.941,0.5332,0,23.918154305669244,12.928801353886431,57.99689703575077,65.27560335718145,nan,2550
C_band0.3_new2.39,3,0.55,0,AdaptiveGCN,0.0,0.47386959195137024,1.0,0.3353,2.3884,none,gcn,3,64,0.001,none,219,219,34,7032,78.941,0.5332,1,18.25297964774085,10.195643367004745,51.453935257203256,58.1107343508907,2.0,850
C_band0.3_new2.39,3,0.55,0,AdaptiveGCN,0.0,0.47386959195137024,1.0,0.3353,2.3884,none,gcn,3,64,0.001,none,219,219,34,7032,78.941,0.5332,2,23.63559655752451,13.018390815012594,58.57166089861923,67.92254251892224,3.4583333333333335,850
C_band0.3_new2.39,3,0.55,0,AdaptiveGCN,0.0,0.47386959195137024,1.0,0.3353,2.3884,none,gcn,3,64,0.001,none,219,219,34,7032,78.941,0.5332,3,28.712743260066713,15.572369879641954,63.96509495142985,69.80765992343741,4.208333333333333,850
C_band0.3_new2.39,3,0.55,1,AdaptiveGCN,0.0,0.5767888426780701,1.0,0.3066,2.3884,none,gcn,3,64,0.001,none,219,219,34,7032,63.757,1.2567,0,21.560877250979306,12.09642908091205,56.50260707126652,62.93721969277924,nan,2550
C_band0.3_new2.39,3,0.55,1,AdaptiveGCN,0.0,0.5767888426780701,1.0,0.3066,2.3884,none,gcn,3,64,0.001,none,219,219,34,7032,63.757,1.2567,1,16.608033584486698,9.700159503721139,50.69349042094784,54.52196774559657,1.375,850
C_band0.3_new2.39,3,0.55,1,AdaptiveGCN,0.0,0.5767888426780701,1.0,0.3066,2.3884,none,gcn,3,64,0.001,none,219,219,34,7032,63.757,1.2567,2,22.24044559130394,12.445972184267251,57.879204138934085,65.02379939051039,3.25,850
C_band0.3_new2.39,3,0.55,1,AdaptiveGCN,0.0,0.5767888426780701,1.0,0.3066,2.3884,none,gcn,3,64,0.001,none,219,219,34,7032,63.757,1.2567,3,24.98299589425179,14.143155554747757,60.935126653917635,69.28372014561242,4.083333333333333,850
C_band0.3_new2.39,3,0.55,2,AdaptiveGCN,0.0,0.593041181564331,1.0,0.2872,2.3884,none,gcn,3,64,0.001,none,219,219,34,7032,62.323,0.7085,0,20.894213961445374,11.594270078771538,55.74770819366122,60.130968398966345,nan,2550
C_band0.3_new2.39,3,0.55,2,AdaptiveGCN,0.0,0.593041181564331,1.0,0.2872,2.3884,none,gcn,3,64,0.001,none,219,219,34,7032,62.323,0.7085,1,16.267519593552194,9.422972129897817,50.33690454264268,53.58039647110966,1.7916666666666667,850
C_band0.3_new2.39,3,0.55,2,AdaptiveGCN,0.0,0.593041181564331,1.0,0.2872,2.3884,none,gcn,3,64,0.001,none,219,219,34,7032,62.323,0.7085,2,20.97146688061649,11.670161815616028,56.51778438155659,63.29746433539074,3.5416666666666665,850
C_band0.3_new2.39,3,0.55,2,AdaptiveGCN,0.0,0.593041181564331,1.0,0.2872,2.3884,none,gcn,3,64,0.001,none,219,219,34,7032,62.323,0.7085,3,24.602233930043376,13.689676290800767,60.38843565678441,63.52705726575451,4.625,850
