label,fold,origin,seed,model,lambda_phys,gate_sigma,shrink_gamma,temporal,augment,n_train_windows,n_real_windows,n_test_weeks,n_params,train_seconds,infer_ms_per_window,horizon,rmse,mae,smape,mape,peak_week_err,n_obs
F_adaptive,1,0.4,0,AdaptiveGCN,0.0,0.7877589464187622,1.0,none,none,151,151,34,7032,34.902,0.998,0,92.75198405783877,37.38276134237507,60.84247561783912,58.76655757812378,nan,2550
F_adaptive,1,0.4,0,AdaptiveGCN,0.0,0.7877589464187622,1.0,none,none,151,151,34,7032,34.902,0.998,1,55.210400944324704,25.936384048229904,53.47339728676263,56.18787598526922,2.56,850
F_adaptive,1,0.4,0,AdaptiveGCN,0.0,0.7877589464187622,1.0,none,none,151,151,34,7032,34.902,0.998,2,78.66053535286336,35.207588105989956,60.262070103340136,60.31975739704857,3.12,850
F_adaptive,1,0.4,0,AdaptiveGCN,0.0,0.7877589464187622,1.0,none,none,151,151,34,7032,34.902,0.998,3,128.73664375602064,51.00431187290534,68.79195946341457,59.77584688325888,6.12,850
F_adaptive,1,0.4,1,AdaptiveGCN,0.0,0.8055638670921326,1.0,none,none,151,151,34,7032,28.451,0.855,0,91.90912870782495,37.3837908503169,60.80804610340419,60.10395369589002,nan,2550
F_adaptive,1,0.4,1,AdaptiveGCN,0.0,0.8055638670921326,1.0,none,none,151,151,34,7032,28.451,0.855,1,56.58798054692682,26.456597256458856,55.12102743431569,58.581394458733804,3.04,850
F_adaptive,1,0.4,1,AdaptiveGCN,0.0,0.8055638670921326,1.0,none,none,151,151,34,7032,28.451,0.855,2,90.01601572348045,38.109792934486315,60.76861462097085,61.923280932983836,3.72,850
F_adaptive,1,0.4,1,AdaptiveGCN,0.0,0.8055638670921326,1.0,none,none,151,151,34,7032,28.451,0.855,3,118.4769226068324,47.58498236000552,66.53449625492604,59.80089798984747,6.76,850
F_adaptive,1,0.4,2,AdaptiveGCN,0.0,0.739835262298584,1.0,none,none,151,151,34,7032,29.668,0.9512,0,119.05058894117506,45.70389825673822,65.1535202227742,59.03948695473805,nan,2550
F_adaptive,1,0.4,2,AdaptiveGCN,0.0,0.739835262298584,1.0,none,none,151,151,34,7032,29.668,0.9512,1,84.82569533333226,34.08959542839624,57.495212054921176,54.91069830159084,3.96,850
F_adaptive,1,0.4,2,AdaptiveGCN,0.0,0.739835262298584,1.0,none,none,151,151,34,7032,29.668,0.9512,2,106.87349554257825,43.55827898971333,64.87049936766444,59.82086579530189,3.8,850
F_adaptive,1,0.4,2,AdaptiveGCN,0.0,0.739835262298584,1.0,none,none,151,151,34,7032,29.668,0.9512,3,154.6020230897678,59.463820352105095,73.09484924573702,62.35478384827624,8.64,850
F_adaptive,1,0.4,3,AdaptiveGCN,0.0,0.8020257353782654,1.0,none,none,151,151,34,7032,29.661,0.8614,0,98.4382791368406,39.17924236403048,60.4523405999861,58.108311314444705,nan,2550
F_adaptive,1,0.4,3,AdaptiveGCN,0.0,0.8020257353782654,1.0,none,none,151,151,34,7032,29.661,0.8614,1,65.77884866665921,28.626765747981914,53.630555722274444,53.327814306085145,2.56,850
F_adaptive,1,0.4,3,AdaptiveGCN,0.0,0.8020257353782654,1.0,none,none,151,151,34,7032,29.661,0.8614,2,97.25067687347803,40.025971743604714,61.229162905394865,60.517491247316734,3.64,850
F_adaptive,1,0.4,3,AdaptiveGCN,0.0,0.8020257353782654,1.0,none,none,151,151,34,7032,29.661,0.8614,3,123.63548565847411,48.8849896005048,66.49730317228895,60.447904158662716,6.2,850
F_adaptive,1,0.4,4,AdaptiveGCN,0.0,0.7705838084220886,1.0,none,none,151,151,34,7032,29.595,1.0572,0,115.99771688588166,45.12139966454403,64.36668246554245,58.21764786216451,nan,2550
F_adaptive,1,0.4,4,AdaptiveGCN,0.0,0.7705838084220886,1.0,none,none,151,151,34,7032,29.595,1.0572,1,90.50234230257313,36.04202668084818,57.61749559505842,53.25340514099618,3.8,850
F_adaptive,1,0.4,4,AdaptiveGCN,0.0,0.7705838084220886,1.0,none,none,151,151,34,7032,29.595,1.0572,2,105.18163025027046,42.93711548341,64.1021735424461,60.420338039280516,4.6,850
F_adaptive,1,0.4,4,AdaptiveGCN,0.0,0.7705838084220886,1.0,none,none,151,151,34,7032,29.595,1.0572,3,145.30162305994634,56.3850568293739,71.38037825912284,60.945171834854264,8.04,850
F_adaptive,1,0.4,5,AdaptiveGCN,0.0,0.6892807483673096,1.0,none,none,151,151,34,7032,40.169,0.9756,0,110.87333704826547,43.98430480720548,64.44012557899919,58.68683794259003,nan,2550
F_adaptive,1,0.4,5,AdaptiveGCN,0.0,0.6892807483673096,1.0,none,none,151,151,34,7032,40.169,0.9756,1,81.46482762939664,33.24302344411502,57.070097138425524,54.900580242998856,3.84,850
F_adaptive,1,0.4,5,AdaptiveGCN,0.0,0.6892807483673096,1.0,none,none,151,151,34,7032,40.169,0.9756,2,107.01882129829765,44.26488405325395,65.69171944940247,60.7668955815451,4.4,850
F_adaptive,1,0.4,5,AdaptiveGCN,0.0,0.6892807483673096,1.0,none,none,151,151,34,7032,40.169,0.9756,3,137.07349981630495,54.44500692424748,70.55856014916958,60.36853542646643,7.36,850
F_adaptive,1,0.4,6,AdaptiveGCN,0.0,0.7882006168365479,1.0,none,none,151,151,34,7032,31.909,1.0197,0,122.64624653661267,46.808579672893075,65.85366995244071,58.64629322242914,nan,2550
F_adaptive,1,0.4,6,AdaptiveGCN,0.0,0.7882006168365479,1.0,none,none,151,151,34,7032,31.909,1.0197,1,71.59130466087859,30.209728297141982,54.47392197181923,53.96268592420327,2.84,850
F_adaptive,1,0.4,6,AdaptiveGCN,0.0,0.7882006168365479,1.0,none,none,151,151,34,7032,31.909,1.0197,2,127.00050538572738,50.64118403350606,69.4328686139652,60.37763919311725,5.72,850
F_adaptive,1,0.4,6,AdaptiveGCN,0.0,0.7882006168365479,1.0,none,none,151,151,34,7032,31.909,1.0197,3,154.5052170552238,59.57482668803118,73.6542192715377,61.5651915352444,8.76,850
F_adaptive,1,0.4,7,AdaptiveGCN,0.0,0.8018777966499329,1.0,none,none,151,151,34,7032,33.75,1.0513,0,91.37375129487114,37.186526404553064,59.94145683994654,58.51496634435319,nan,2550
F_adaptive,1,0.4,7,AdaptiveGCN,0.0,0.8018777966499329,1.0,none,none,151,151,34,7032,33.75,1.0513,1,60.785954998360275,27.46273729738971,53.86016607000344,57.107046740372795,2.68,850
F_adaptive,1,0.4,7,AdaptiveGCN,0.0,0.8018777966499329,1.0,none,none,151,151,34,7032,33.75,1.0513,2,87.23150291634124,37.2954108759865,60.36803679357008,58.533639544939476,3.24,850
F_adaptive,1,0.4,7,AdaptiveGCN,0.0,0.8018777966499329,1.0,none,none,151,151,34,7032,33.75,1.0513,3,117.23147977819164,46.80143104028299,65.59616765626612,59.89236339148842,6.2,850
F_adaptive,2,0.475,0,AdaptiveGCN,0.0,0.8029313683509827,1.0,none,none,185,185,34,7032,41.955,1.0246,0,121.39343425155337,43.47365714659289,43.1393509724548,51.811399989469386,nan,2550
F_adaptive,2,0.475,0,AdaptiveGCN,0.0,0.8029313683509827,1.0,none,none,185,185,34,7032,41.955,1.0246,1,107.28851044737618,38.08372628398938,38.06556235346553,44.112252093278045,1.24,850
F_adaptive,2,0.475,0,AdaptiveGCN,0.0,0.8029313683509827,1.0,none,none,185,185,34,7032,41.955,1.0246,2,122.63905789583667,45.04921813285252,42.496967161063466,51.235658220416305,2.04,850
F_adaptive,2,0.475,0,AdaptiveGCN,0.0,0.8029313683509827,1.0,none,none,185,185,34,7032,41.955,1.0246,3,132.88316162164227,47.28802702293677,48.855523402835374,60.08628965471382,4.04,850
F_adaptive,2,0.475,1,AdaptiveGCN,0.0,0.5437830090522766,1.0,none,none,185,185,34,7032,72.399,1.4834,0,153.4148147321086,49.20655297914244,46.610393004181994,53.13416453847808,nan,2550
F_adaptive,2,0.475,1,AdaptiveGCN,0.0,0.5437830090522766,1.0,none,none,185,185,34,7032,72.399,1.4834,1,109.2492617486692,39.15989143776105,40.806949358931064,43.292468519726,2.96,850
F_adaptive,2,0.475,1,AdaptiveGCN,0.0,0.5437830090522766,1.0,none,none,185,185,34,7032,72.399,1.4834,2,129.81184613584406,48.56653748580138,47.180538175089374,52.82233355192971,3.96,850
F_adaptive,2,0.475,1,AdaptiveGCN,0.0,0.5437830090522766,1.0,none,none,185,185,34,7032,72.399,1.4834,3,204.50378859091177,59.89323001386488,51.84369147852556,63.287691543778536,3.6,850
F_adaptive,2,0.475,2,AdaptiveGCN,0.0,0.5728679299354553,1.0,none,none,185,185,34,7032,114.375,1.7789,0,147.39690938624705,51.373466970584005,47.82826942036832,55.25413935956113,nan,2550
F_adaptive,2,0.475,2,AdaptiveGCN,0.0,0.5728679299354553,1.0,none,none,185,185,34,7032,114.375,1.7789,1,117.55424749556724,41.82880216928089,41.2417914762552,46.884421566640974,1.68,850
F_adaptive,2,0.475,2,AdaptiveGCN,0.0,0.5728679299354553,1.0,none,none,185,185,34,7032,114.375,1.7789,2,166.40913649551007,55.76817422161043,49.28828550540917,56.42770035396839,2.36,850
F_adaptive,2,0.475,2,AdaptiveGCN,0.0,0.5728679299354553,1.0,none,none,185,185,34,7032,114.375,1.7789,3,153.83934762089382,56.5234245208607,52.95473127944056,62.45029615807404,3.84,850
F_adaptive,2,0.475,3,AdaptiveGCN,0.0,0.5307350158691406,1.0,none,none,185,185,34,7032,53.584,1.7891,0,185.62106798679162,60.42972097059328,51.88605563810326,55.126070298210905,nan,2550
F_adaptive,2,0.475,3,AdaptiveGCN,0.0,0.5307350158691406,1.0,none,none,185,185,34,7032,53.584,1.7891,1,182.8474874297831,53.89214135269744,44.948181412751424,43.90559305648043,4.76,850
F_adaptive,2,0.475,3,AdaptiveGCN,0.0,0.5307350158691406,1.0,none,none,185,185,34,7032,53.584,1.7891,2,201.3561680703086,66.80406093538684,53.941026180442954,58.23416403634464,6.28,850
F_adaptive,2,0.475,3,AdaptiveGCN,0.0,0.5307350158691406,1.0,none,none,185,185,34,7032,53.584,1.7891,3,171.42938068583305,60.59296062369557,56.76895932111539,63.23845380180768,5.8,850
