Row,Configuration,RMSE,MAE,SMAPE,Moran_I,Peak_Timing_Err_wks
0,Persistence Floor,44.79531573322547,15.721895424836601,62.80087991371365,0.3331770559332108,0.9866666666666667
1,GCN Baseline (residual + log),45.027148108665386,15.920080806485524,70.93926414237693,0.2117535110986523,2.1999999999999997
2,+ Adaptive Graph (Contrib c),45.106687142814756,15.930495988868158,70.5721941097916,0.15329998200875267,1.9466666666666665
3,+ Physics Loss (Contrib a),45.06457807270393,15.843948554814029,70.63923242188741,0.2208918487578145,1.8133333333333335
4,+ Data Augmentation (Contrib b),45.46070381801763,16.094892572695752,70.26042788128646,0.2762302858808538,1.1733333333333333
5,All Three Combined (PIAG-Net+Aug),45.72078141057164,15.915212425563217,71.22874709468715,0.08880636467613191,1.16
