fold,origin,strategy,n_train_samples,RMSE,RMSE_std,MAE,SMAPE,persist_RMSE,persist_MAE
1,0.55,No Augmentation,219,27.626666723986357,0.38189780483822383,13.421063389601,54.36384380751224,26.882223151529477,13.312745098039215
1,0.55,Heuristic (Jitter+Warp),438,29.969437297811975,0.5647017060020266,14.579841023473689,57.02964377490931,26.882223151529477,13.312745098039215
1,0.55,WGAN-GP Augmentation,328,81.91513273119816,34.66435455412232,25.698127184029065,75.8790348113252,26.882223151529477,13.312745098039215
2,0.7,No Augmentation,287,43.71461341523767,1.3553496379733831,18.25998169105412,69.3912638518688,38.88532915547214,17.15627450980392
2,0.7,Heuristic (Jitter+Warp),574,41.73956114302791,1.2981531207656476,17.73440156403203,70.03160255506076,38.88532915547214,17.15627450980392
2,0.7,WGAN-GP Augmentation,430,124.12752803014496,8.758381641944197,35.70681291372639,82.52459538507982,38.88532915547214,17.15627450980392
3,0.85,No Augmentation,355,66.92528321782157,0.880336988344309,16.577057856531336,85.35877892930269,68.6183948926748,16.696666666666665
3,0.85,Heuristic (Jitter+Warp),710,65.3150261567395,0.31852395600523686,16.271251361721344,84.97396850548832,68.6183948926748,16.696666666666665
3,0.85,WGAN-GP Augmentation,532,81.7156267618724,2.9462438733362344,21.05215514346754,100.43778862642331,68.6183948926748,16.696666666666665
