lambda_phys,mean_RMSE,mean_MAE,mean_SMAPE,mean_PTE,fold1_RMSE,fold2_RMSE,fold3_RMSE,gate_sig
0.0,44.84746655175568,15.692517317571308,68.51864901816121,0.8724836601307189,27.152211249853796,39.947325098047315,67.44286330736595,0.4930180774794684
0.01,44.80478613314083,15.688667032809448,68.70645825540366,0.8729411764705883,27.163133204358825,39.68392371040457,67.56730148465908,0.4927612046400706
0.1,44.77800481366146,15.750565104178913,69.87435882379503,0.8811111111111112,27.2700361423254,38.64569828887795,68.41828000978104,0.4939992196030087
1.0,45.2436542669549,15.948717797580864,73.62064294984823,0.9211111111111111,27.284355469313144,38.98548540510304,69.46112192644848,0.4917127523157332
