label,fold,origin,seed,model,lambda_phys,gate_sigma,shrink_gamma,temporal,spatial,window,hidden,lr,augment,n_train_windows,n_real_windows,n_test_weeks,n_params,train_seconds,infer_ms_per_window,horizon,rmse,mae,smape,mape,peak_week_err,n_obs
X_gat_h1,2,0.475,2,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,185,185,34,7160,34.536,1.1046,3,141.75846047946047,51.220572858154775,49.67137958791239,60.85534506747399,5.08,850
X_gat_h1,3,0.55,0,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,219,219,34,7160,47.959,1.2083,0,20.945613606870115,11.800603800632365,54.93759586976047,62.226843666730446,nan,2550
X_gat_h1,3,0.55,0,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,219,219,34,7160,47.959,1.2083,1,16.186160475417132,9.57396352506188,50.474239012225475,55.28016436217587,1.7916666666666667,850
X_gat_h1,3,0.55,0,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,219,219,34,7160,47.959,1.2083,2,20.100851250505865,11.493129653166157,55.60281531140379,63.5263196632951,3.0416666666666665,850
X_gat_h1,3,0.55,0,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,219,219,34,7160,47.959,1.2083,3,25.497454307714502,14.334718223669059,58.73573328565216,67.88927536965696,3.875,850
X_gat_h1,3,0.55,1,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,219,219,34,7160,75.287,1.3046,0,24.15112430200686,13.006052591149494,57.929152456215874,66.8925140430045,nan,2550
X_gat_h1,3,0.55,1,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,219,219,34,7160,75.287,1.3046,1,19.265129192210907,10.898585033351008,53.361918602972395,61.716920379209675,2.5833333333333335,850
X_gat_h1,3,0.55,1,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,219,219,34,7160,75.287,1.3046,2,24.771215122403657,13.19880404925193,58.39062035855359,71.00210958056692,3.875,850
X_gat_h1,3,0.55,1,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,219,219,34,7160,75.287,1.3046,3,27.659936979682055,14.920768690845545,62.034918407121644,67.96605943863231,5.25,850
X_gat_h1,3,0.55,2,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,219,219,34,7160,46.399,1.3713,0,21.749542231963144,12.093256729633238,55.91130204024133,63.09949008771962,nan,2550
X_gat_h1,3,0.55,2,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,219,219,34,7160,46.399,1.3713,1,16.011281646945285,9.49567309555488,50.76199649926545,53.45411546993971,1.4166666666666667,850
X_gat_h1,3,0.55,2,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,219,219,34,7160,46.399,1.3713,2,20.484726752083045,11.800289184731596,55.95868050946441,65.84917785581081,3.4583333333333335,850
X_gat_h1,3,0.55,2,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,219,219,34,7160,46.399,1.3713,3,27.26064180855856,14.983807908613235,61.013229111994136,70.01517822092401,4.333333333333333,850
X_gat_h1,4,0.625,0,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,253,253,34,7160,58.131,1.5448,0,32.61029750630287,15.179163515999932,52.38576118118547,56.58853342861773,nan,2550
X_gat_h1,4,0.625,0,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,253,253,34,7160,58.131,1.5448,1,27.164002745904867,13.018263815450757,50.25275525914296,55.23737945153617,6.0,850
X_gat_h1,4,0.625,0,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,253,253,34,7160,58.131,1.5448,2,31.47555373542594,14.963713439472075,51.83109195149977,55.78993624304408,7.0,850
X_gat_h1,4,0.625,0,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,253,253,34,7160,58.131,1.5448,3,38.23219823940989,17.555513293076963,55.07343633291371,58.73828459127294,7.416666666666667,850
X_gat_h1,4,0.625,1,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,253,253,34,7160,56.398,1.311,0,32.86585996070696,14.909166975282863,52.48688228085647,53.37991230574593,nan,2550
X_gat_h1,4,0.625,1,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,253,253,34,7160,56.398,1.311,1,27.607338456362125,12.911436399602715,50.14050317630044,54.29923824557738,3.625,850
X_gat_h1,4,0.625,1,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,253,253,34,7160,56.398,1.311,2,31.627408825888608,14.789566929712892,51.897238295234125,52.789374040878236,3.2083333333333335,850
X_gat_h1,4,0.625,1,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,253,253,34,7160,56.398,1.311,3,38.44523542893679,17.026497596532984,55.42290537103486,53.05112463078218,6.208333333333333,850
X_gat_h1,4,0.625,2,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,253,253,34,7160,68.07,1.5471,0,35.082156020773105,16.17364649245223,53.60143822794476,57.03182057315856,nan,2550
X_gat_h1,4,0.625,2,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,253,253,34,7160,68.07,1.5471,1,28.8853559436672,13.555188054427067,49.67287767357128,53.595990281285935,6.791666666666667,850
X_gat_h1,4,0.625,2,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,253,253,34,7160,68.07,1.5471,2,33.75379869731273,15.972190136401093,53.008479597278665,57.2993465778868,9.291666666666666,850
X_gat_h1,4,0.625,2,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,253,253,34,7160,68.07,1.5471,3,41.45588376463032,18.99356128652854,58.12295741298434,60.20012486030295,9.458333333333334,850
