label,fold,origin,seed,model,lambda_phys,gate_sigma,n_test_weeks,horizon,rmse,mae,smape,mape,peak_week_err,n_obs,config,use_adaptive,hidden,epochs
dense_fixed,3,0.85,1,DenseGCN,0.0,1.0,68,1,65.16575548173714,14.93102808878986,74.5296691629569,240.9274441292621,1.0,1700,dense_fixed,False,64,120
dense_fixed,3,0.85,1,DenseGCN,0.0,1.0,68,2,64.85360218735252,16.00071967325276,81.2069270488598,199.37755561063676,4.08,1700,dense_fixed,False,64,120
dense_fixed,3,0.85,1,DenseGCN,0.0,1.0,68,3,66.71578610657757,17.84861823087671,88.79967110594482,284.85115584147064,5.08,1700,dense_fixed,False,64,120
dense_fixed,3,0.85,1,DenseGCN,0.0,1.0,68,0,65.58343673011639,16.26012199763978,81.5120891059205,241.77036094346784,nan,5100,dense_fixed,False,64,120
dense_fixed,3,0.85,2,DenseGCN,0.0,1.0,68,1,68.34792436245796,15.650998117751852,89.48373385522605,266.36687049426973,3.16,1700,dense_fixed,False,64,120
dense_fixed,3,0.85,2,DenseGCN,0.0,1.0,68,2,66.09388838435079,16.204688904496273,87.57442195943564,205.85167558665282,4.16,1700,dense_fixed,False,64,120
dense_fixed,3,0.85,2,DenseGCN,0.0,1.0,68,3,65.60659002655882,17.588373382404534,90.41591376657237,277.0845055744326,5.4,1700,dense_fixed,False,64,120
dense_fixed,3,0.85,2,DenseGCN,0.0,1.0,68,0,66.69349168979998,16.481353468217552,89.1580231937447,249.7763504710583,nan,5100,dense_fixed,False,64,120
persistence,3,0.85,0,Persistence,0.0,nan,68,1,67.78221179110429,15.305882352941177,72.65841710412057,258.2044354742137,1.0,1700,dense_fixed,False,64,120
persistence,3,0.85,0,Persistence,0.0,nan,68,2,68.61131787960694,16.568235294117645,78.08491676805768,217.8371716595211,2.0,1700,dense_fixed,False,64,120
persistence,3,0.85,0,Persistence,0.0,nan,68,3,69.45150233415104,18.215882352941176,81.79041309242481,303.01458540752543,3.0,1700,dense_fixed,False,64,120
persistence,3,0.85,0,Persistence,0.0,nan,68,0,68.6183948926748,16.696666666666665,77.51124898820103,259.738239995409,nan,5100,dense_fixed,False,64,120
adaptive,1,0.55,0,AdaptiveGCN,0.0,0.47386959195137024,68,1,23.75816466661923,11.76858642188613,51.31869484741092,55.53774504630461,9.875,1700,adaptive,True,64,120
adaptive,1,0.55,0,AdaptiveGCN,0.0,0.47386959195137024,68,2,29.936705205871146,14.847893695475205,56.84577772027398,62.373140121370895,11.083333333333334,1700,adaptive,True,64,120
adaptive,1,0.55,0,AdaptiveGCN,0.0,0.47386959195137024,68,3,36.21917734580678,17.436324165226782,62.27255120185218,62.37640334978217,12.458333333333334,1700,adaptive,True,64,120
adaptive,1,0.55,0,AdaptiveGCN,0.0,0.47386959195137024,68,0,30.400030233079427,14.684268094196039,56.812341256512354,60.09437961538568,nan,5100,adaptive,True,64,120
adaptive,1,0.55,1,AdaptiveGCN,0.0,0.5767888426780701,68,1,22.403310223625063,11.076665915018495,50.16737645950341,52.25178459532458,4.625,1700,adaptive,True,64,120
