fold,origin,n_test,AdaptiveGCN_RMSE,AdaptiveGCN_MAE,AdaptiveGCN_SMAPE,AdaptiveGCN_PTE,learned_gate_sig
1,0.55,68,27.152211249853796,13.477425050991087,53.70983105008251,0.8311764705882353,0.4989573856194814
2,0.7,68,39.947325098047315,17.073716007702462,68.67343035719325,0.9425490196078431,0.4815543790658315
3,0.85,68,67.44286330736595,16.526410894020376,83.17268564720784,0.8437254901960785,0.49854246775309247
