arch,increment,origin,seed,RMSE,MAE,n_windows,n_artifact,RMSE_clean,MAE_clean,growth_max,growth_p99,growth_min
persistence,base,0.55,-1,26.882223151529477,13.312745098039215,68,0,26.882223151529477,13.312745098039215,,,
persistence,base,0.7,-1,38.88532915547214,17.15627450980392,68,0,38.88532915547214,17.15627450980392,,,
persistence,base,0.85,-1,68.6183948926748,16.696666666666665,68,6,22.79547681977414,9.18774193548387,,,
AAGCN,base,0.55,0,34.41611099243164,15.717107772827148,68,0,34.41611099243164,15.717107772827148,0.94732666015625,0.527206745147708,-1.3065356016159058
AAGCN,base,0.55,1,27.987905502319336,13.388131141662598,68,0,27.987905502319336,13.388131141662598,1.1151973009109497,0.6121771652368677,-1.1611181497573853
AAGCN,base,0.55,2,28.175872802734375,13.203349113464355,68,0,28.175872802734375,13.203349113464355,0.8213834762573242,0.47898903083531885,-0.7162368221390731
AAGCN,base,0.55,3,28.479808807373047,13.411710739135742,68,0,28.479808807373047,13.411710739135742,1.2365477085113525,0.5926750540923821,-0.8005249500274658
AAGCN,base,0.55,4,31.365921020507812,15.692950248718262,68,0,31.365921020507812,15.692950248718262,1.4488556385040283,0.9034479182958604,-1.30678129196167
AAGCN,base,0.55,5,30.281936645507812,13.987080574035645,68,0,30.281936645507812,13.987080574035645,2.1653361320495605,0.6916414475440992,-0.7489323763438138
AAGCN,base,0.55,6,27.905029296875,13.224563598632812,68,0,27.905029296875,13.224563598632812,1.254040002822876,0.713191241025926,-1.301326821013404
AAGCN,base,0.55,7,33.466243743896484,15.901017189025879,68,0,33.466243743896484,15.901017189025879,0.8339951339068421,0.6976791691780091,-1.064809799194336
AAGCN,base,0.55,8,37.718589782714844,16.846336364746094,68,0,37.718589782714844,16.846336364746094,1.3832659721374512,0.8112779676914216,-0.8851237297058105
AAGCN,base,0.55,9,27.994062423706055,13.363446235656738,68,0,27.994062423706055,13.363446235656738,0.8608341217041016,0.5369292170784028,-0.8705647139140043
AAGCN,base,0.55,10,29.32869529724121,13.553831100463867,68,0,29.32869529724121,13.553831100463867,1.7717472314834595,0.6054571502387222,-1.0972845554351807
AAGCN,base,0.55,11,28.874244689941406,13.922276496887207,68,0,28.874244689941406,13.922276496887207,1.2694169282913208,0.7980257093568545,-1.4215595722198486
AAGCN,base,0.55,12,31.4110050201416,14.759675025939941,68,0,31.4110050201416,14.759675025939941,2.3874340057373047,1.677255836725235,-1.4843497276306152
