district,age_group,n_seropositive,seroprevalence_pct,sampling_period,source,use
Gampaha,13-15,142,30.7,2022-09 to 2023-03,"Jeewandara et al., medRxiv 10.1101/2023.04.23.23288986 Table 1 (published J Med Virol 2024, doi:10.1002/jmv.29394)","validation only: sampled 2022-09 to 2023-03, after most of the study period"
Gampaha,16-20,156,33.4,2022-09 to 2023-03,"Jeewandara et al., medRxiv 10.1101/2023.04.23.23288986 Table 1 (published J Med Virol 2024, doi:10.1002/jmv.29394)","validation only: sampled 2022-09 to 2023-03, after most of the study period"
Gampaha,10-20 (all),415,30.6,2022-09 to 2023-03,"Jeewandara et al., medRxiv 10.1101/2023.04.23.23288986 Table 1 (published J Med Virol 2024, doi:10.1002/jmv.29394)","validation only: sampled 2022-09 to 2023-03, after most of the study period"
Kandy,10-12,26,14.1,2022-09 to 2023-03,"Jeewandara et al., medRxiv 10.1101/2023.04.23.23288986 Table 1 (published J Med Virol 2024, doi:10.1002/jmv.29394)","validation only: sampled 2022-09 to 2023-03, after most of the study period"
Kandy,13-15,31,13.2,2022-09 to 2023-03,"Jeewandara et al., medRxiv 10.1101/2023.04.23.23288986 Table 1 (published J Med Virol 2024, doi:10.1002/jmv.29394)","validation only: sampled 2022-09 to 2023-03, after most of the study period"
Kandy,16-20,59,22.5,2022-09 to 2023-03,"Jeewandara et al., medRxiv 10.1101/2023.04.23.23288986 Table 1 (published J Med Virol 2024, doi:10.1002/jmv.29394)","validation only: sampled 2022-09 to 2023-03, after most of the study period"
Kandy,10-20 (all),116,17.03,2022-09 to 2023-03,"Jeewandara et al., medRxiv 10.1101/2023.04.23.23288986 Table 1 (published J Med Virol 2024, doi:10.1002/jmv.29394)","validation only: sampled 2022-09 to 2023-03, after most of the study period"
Badulla,10-12,18,10.3,2022-09 to 2023-03,"Jeewandara et al., medRxiv 10.1101/2023.04.23.23288986 Table 1 (published J Med Virol 2024, doi:10.1002/jmv.29394)","validation only: sampled 2022-09 to 2023-03, after most of the study period"
Badulla,13-15,31,18.0,2022-09 to 2023-03,"Jeewandara et al., medRxiv 10.1101/2023.04.23.23288986 Table 1 (published J Med Virol 2024, doi:10.1002/jmv.29394)","validation only: sampled 2022-09 to 2023-03, after most of the study period"
Badulla,16-20,22,14.2,2022-09 to 2023-03,"Jeewandara et al., medRxiv 10.1101/2023.04.23.23288986 Table 1 (published J Med Virol 2024, doi:10.1002/jmv.29394)","validation only: sampled 2022-09 to 2023-03, after most of the study period"
Badulla,10-20 (all),71,14.2,2022-09 to 2023-03,"Jeewandara et al., medRxiv 10.1101/2023.04.23.23288986 Table 1 (published J Med Virol 2024, doi:10.1002/jmv.29394)","validation only: sampled 2022-09 to 2023-03, after most of the study period"
