district,date,ndvi,valid_pixels,pixels
Ampara,2012-09-13,0.6304525282569899,1681,1681
Ampara,2012-09-29,0.6542152885187389,1681,1681
Ampara,2012-10-15,0.6156695419393218,1681,1681
Ampara,2012-10-31,0.7027999405116002,1681,1681
Ampara,2012-11-16,0.6651214158239144,1681,1681
Ampara,2012-12-02,0.6554340566606389,1659,1681
Ampara,2012-12-18,0.7419022113022113,1628,1681
Ampara,2013-01-01,0.7602687960687962,1628,1681
Ampara,2013-01-17,0.7411842331288344,1630,1681
Ampara,2013-02-02,0.5868120833333333,1680,1681
Ampara,2013-02-18,0.7372534271725827,1634,1681
Ampara,2013-03-06,0.6027011911852294,1679,1681
Ampara,2013-03-22,0.6260453896490185,1681,1681
Ampara,2013-04-07,0.6960653182629388,1681,1681
Ampara,2013-04-23,0.6611005353955979,1681,1681
Ampara,2013-05-09,0.6260519333729923,1681,1681
Ampara,2013-05-25,0.6239693634741226,1681,1681
Ampara,2013-06-10,0.6416280190362879,1681,1681
Ampara,2013-06-26,0.6568867340868532,1681,1681
Ampara,2013-07-12,0.7014009518143962,1681,1681
Ampara,2013-07-28,0.6792778703152885,1681,1681
Ampara,2013-08-13,0.6744500892325996,1681,1681
Ampara,2013-08-29,0.6425376561570494,1681,1681
Ampara,2013-09-14,0.6506755065554232,1678,1681
Ampara,2013-09-30,0.6168296847114813,1681,1681
Ampara,2013-10-16,0.6642770969660917,1681,1681
Ampara,2013-11-01,0.5971480071386079,1681,1681
Ampara,2013-11-17,0.5642905413444379,1681,1681
Ampara,2013-12-03,0.6677883402736466,1681,1681
Ampara,2013-12-19,0.3727631766805473,1681,1681
Ampara,2014-01-01,0.5945984533016062,1681,1681
Ampara,2014-01-17,0.6323315288518739,1681,1681
Ampara,2014-02-02,0.6746609756097561,1681,1681
Ampara,2014-02-18,0.6694984533016062,1681,1681
Ampara,2014-03-06,0.5381303390838786,1681,1681
Ampara,2014-03-22,0.6362786436644854,1681,1681
Ampara,2014-04-07,0.6429225000000001,1680,1681
Ampara,2014-04-23,0.6330654144305308,1677,1681
Ampara,2014-05-09,0.6949976799524094,1681,1681
Ampara,2014-05-25,0.7041179654967282,1681,1681
Ampara,2014-06-10,0.673717251635931,1681,1681
