file,bytes,sha256,source
dcs/census2012/Polonnaruwa_A1.pdf,194107,c9c45b22471f9ca2dd9e2d6015d1d6c6db5e3574637ff105559e0f62e399d7a7,DCS Census 2012 district reports -- http://www.statistics.gov.lk/pophousat/cph2011/Pages/Activities/Reports/District/
dcs/census2012/Puttalam.pdf,254932,e80ae222e3bb2fe0bbd8a4c110f22489f6faaa0e48b45c30a90364ae79213048,DCS Census 2012 district reports -- http://www.statistics.gov.lk/pophousat/cph2011/Pages/Activities/Reports/District/
dcs/census2012/Ratnapura.pdf,148485,5bf32379aa991242add7d782ff56475ef07c940b344b0ec2568d483eb767a94c,DCS Census 2012 district reports -- http://www.statistics.gov.lk/pophousat/cph2011/Pages/Activities/Reports/District/
dcs/census2012/Trincomalee.pdf,286121,902d0816b0e19a1a524286bde8fac716da4d72c3ec520d6faf3007b90d6fb5aa,DCS Census 2012 district reports -- http://www.statistics.gov.lk/pophousat/cph2011/Pages/Activities/Reports/District/
dcs/census2012/Vavuniya.pdf,273029,9d0ba572f66c48ea1520beeca6df69bf190cb27158333a4f922fe10300d8c1d6,DCS Census 2012 district reports -- http://www.statistics.gov.lk/pophousat/cph2011/Pages/Activities/Reports/District/
dcs/census2012_key_findings.pdf,3961914,822e6a39a9acdb4c3d17cf40611dfce84ca15cb866a170e37c9c4a974cf4d490,DCS Census 2012 district reports -- http://www.statistics.gov.lk/pophousat/cph2011/Pages/Activities/Reports/District/
dcs/colombo.pdf,295545,3b9360f313202a84088acf3f15485c9fd4791f5d7f6a9cb4aac3ca70b2c4b175,
dcs/Mid-year_population_by_district_and_sex_2024.pdf,452438,b7a7ba4b4818206af18c7c09115ee5418f6b5a1aa69c89c69de74092494b9fc5,DCS mid-year population estimates by district 2014-2024 -- https://www.statistics.gov.lk/Resource/en/Population/Vital_Statistics/Mid-year_population_by_district_and_sex_2024.pdf
disease_modeling_MLOS2/Data/Countries/gadm41_BRA_1.json,1831045,fe038c43c7e5affa2729c512cf7ff72be68ac2139ed39fc0050d92bbd17f33d2,Authors' repository sample files and GADM 4.1 boundaries -- https://github.com/MLOpenSourceOpenScience/disease_modeling_MLOS2
disease_modeling_MLOS2/Data/Countries/gadm41_LKA_1.json,185200,f3506a24ad538f88e011fa8d97fc5b3e25ad58b7fa292ac927a5bfe69f39cb8e,Authors' repository sample files and GADM 4.1 boundaries -- https://github.com/MLOpenSourceOpenScience/disease_modeling_MLOS2
