district,segment,model,mae,rmse
Ampara,1.0,LSTM,28.205914375998756,123.22044157062251
Anuradhapura,1.0,LSTM,11.494510331298367,42.174281890800266
Badulla,1.0,LSTM,13.294332131472501,25.86654888745894
Batticaloa,1.0,LSTM,18.05818091016827,32.578478591407304
