parameter,paper Table 1,reproduced (closed form),reproduced (finite diff),abs error vs paper
pi_v,0.5,0.5,0.4999999999533013,0.0
b,1.0,1.0,0.9999999999066026,0.0
beta_v,0.5,0.5,0.4999999999533013,0.0
mu_v,-1.31823,-1.3182281059063137,-1.3182281059167038,1.8940936863387492e-06
nu_v,0.318228,0.3182281059063136,0.31822810586828826,1.0590631360773983e-07
beta_h,0.5,0.5,0.4999999999533013,0.0
gamma_h,-0.49993,-0.49993006546480623,-0.4999300654814156,6.546480624258777e-08
mu_h,-0.000208,-0.00020786887844640649,-0.0002078688747741597,1.311215535935008e-07
nu_h,0.000138,0.00013793434325261178,0.00013793433198202237,6.565674738820957e-08
