arch,increment,origin,seed,RMSE,MAE,n_windows,n_artifact,RMSE_clean,MAE_clean,growth_max,growth_p99,growth_min
persistence,base,0.55,-1,26.882223151529477,13.312745098039215,68,0,26.882223151529477,13.312745098039215,,,
persistence,base,0.7,-1,38.88532915547214,17.15627450980392,68,0,38.88532915547214,17.15627450980392,,,
persistence,base,0.85,-1,68.6183948926748,16.696666666666665,68,6,22.79547681977414,9.18774193548387,,,
ASTGCN,base,0.55,0,27.915592193603516,13.221551895141602,68,0,27.915592193603516,13.221551895141602,0.2507326602935791,0.1988651728630066,-0.14574193954467773
ASTGCN,base,0.55,1,29.830970764160156,13.894882202148438,68,0,29.830970764160156,13.894882202148438,0.23064827919006348,0.17093159198760988,-0.28215027017885763
ASTGCN,base,0.55,2,28.501081466674805,13.266127586364746,68,0,28.501081466674805,13.266127586364746,0.702541708946228,0.3148420119285584,-0.4354493765421781
ASTGCN,base,0.55,3,32.14185333251953,14.811942100524902,68,0,32.14185333251953,14.811942100524902,0.2837831974029541,0.2612710857581824,-0.444663405418396
ASTGCN,base,0.55,4,29.040729522705078,13.595491409301758,68,0,29.040729522705078,13.595491409301758,0.18339204788208008,0.13281646013259887,-0.2299975677668158
ASTGCN,base,0.55,5,28.0947208404541,13.245489120483398,68,0,28.0947208404541,13.245489120483398,0.1816115379333496,0.13909165382385277,-0.13882241526286965
ASTGCN,base,0.55,6,27.815059661865234,13.238465309143066,68,0,27.815059661865234,13.238465309143066,0.12528181076049805,0.07626460075378473,-0.1691741943359375
ASTGCN,base,0.55,7,29.433624267578125,13.645966529846191,68,0,29.433624267578125,13.645966529846191,0.15075945854187012,0.11594641208648683,-0.28175854682922363
ASTGCN,base,0.55,8,28.093454360961914,13.327025413513184,68,0,28.093454360961914,13.327025413513184,0.29346656799316406,0.2257885737201733,-0.18775224685668945
ASTGCN,base,0.55,9,28.46187400817871,13.32896900177002,68,0,28.46187400817871,13.32896900177002,0.35376977920532227,0.1874489760398868,-0.16328220135961136
ASTGCN,base,0.55,10,28.994314193725586,13.43252944946289,68,0,28.994314193725586,13.43252944946289,0.28851795196533203,0.19341315696449965,-0.22957134246826172
ASTGCN,base,0.55,11,28.862157821655273,13.496270179748535,68,0,28.862157821655273,13.496270179748535,0.10033082962036133,0.07946093320846558,-0.1786494255065918
ASTGCN,base,0.55,12,28.625995635986328,13.353057861328125,68,0,28.625995635986328,13.353057861328125,0.3834376335144043,0.2927038860321045,-0.12852716445922852
