horizon (weeks),RMSE,MAE,MAPE(>=1) %,RMSE sd,persistence RMSE,paper RMSE,quick_test
1,49.374082034377416,17.62846256505889,231.1638841726344,0.0,59.08201832105001,6.1,True
4,48.121308115776316,18.38935230027517,329.6473652564565,0.0,61.614586774324685,10.9,True
