protocol,MAE,MAE sd,RMSE,RMSE sd
"Weng et al., Table I (published)",25.38,1.37,44.78,2.26
"STGAT, published protocol",24.01245793653137,1.3229338979037257,42.307107950929954,2.466764036031557
"  persistence, same slices",18.584725718843305,0.48460994755275566,34.669958000976656,0.8870841044613718
"STGAT, corrected protocol",35.469915191339844,11.788350723732973,62.09588271742948,21.04432459870266
"  persistence, same slices",21.66141782228808,7.081517367174043,39.0825273252819,12.865987983025843
