variant,horizon (weeks),RMSE,RMSE sd,MAE,dRMSE vs full,% worse,quick_test
full model,1,49.374082034377416,0.0,17.62846256505889,0.0,0.0,True
full model,4,48.121308115776316,0.0,18.38935230027517,0.0,0.0,True
binary graph (not 'static'),1,47.348490243120224,0.0,15.852238081451327,-2.0255917912571917,-4.102540660597688,True
binary graph (not 'static'),4,48.00599725677606,0.0,18.44222731348572,-0.11531085900025317,-0.23962536247523397,True
no attention,1,49.54907987509887,0.0,16.897602481430507,0.17499784072145275,0.3544325960320801,True
no attention,4,50.59656882038772,0.0,17.85118520544461,2.475260704611408,5.143793470152793,True
no mobility features,1,48.19550342692755,0.0,17.105653469261433,-1.1785786074498645,-2.3870390271342408,True
no mobility features,4,48.970509977946946,0.0,18.11835893708498,0.8492018621706308,1.76471067687419,True
