component,paper E1,corrected E1,numerical root
s_h,0.28331329840914804,0.28331329840914804,0.28331329840914804
e_h,0.00019771141900362947,0.00019771141900362947,0.00019771141900362942
i_h,0.00010021464899827911,0.00010021464899827911,0.00010021464899827908
e_v,6.46469012265804e-05,0.00011478731849773941,0.00011478731849773934
i_v,0.0002585876049063216,6.556651632590876e-05,6.556651632590872e-05
