framing,MAE,MAE sd,RMSE,RMSE sd
"reference baselines: Kalutara, same-week covariates",71.63360161198284,20.820573882709873,102.0531766470756,41.06809248514315
"GNN task: 25 districts, 3-step-ahead forecast",34.586774787795115,11.705395040163825,88.57195238161206,37.66688861352709
