arch,increment,origin,seed,RMSE,MAE,n_windows,n_artifact,RMSE_clean,MAE_clean,growth_max,growth_p99,growth_min
persistence,base,0.55,-1,26.882223151529477,13.312745098039215,68,0,26.882223151529477,13.312745098039215,,,
persistence,base,0.7,-1,38.88532915547214,17.15627450980392,68,0,38.88532915547214,17.15627450980392,,,
persistence,base,0.85,-1,68.6183948926748,16.696666666666665,68,6,22.79547681977414,9.18774193548387,,,
AAGCN,base,0.55,0,34.41374206542969,15.716544151306152,68,0,34.41374206542969,15.716544151306152,0.9482250213623047,0.5280702924728421,-1.3074407577514648
AAGCN,base,0.55,1,28.082752227783203,13.421160697937012,68,0,28.082752227783203,13.421160697937012,1.1307272911071777,0.6129421162605292,-1.1550344228744507
AAGCN,base,0.55,2,28.177677154541016,13.203471183776855,68,0,28.177677154541016,13.203471183776855,0.8208701610565186,0.4786259133788824,-0.7177276535141952
AAGCN,base,0.7,0,38.94858932495117,17.001691818237305,68,0,38.94858932495117,17.001691818237305,1.9942615032196045,1.2817070031166122,-0.8647900076088231
AAGCN,base,0.7,1,38.0777587890625,16.752708435058594,68,0,38.0777587890625,16.752708435058594,2.265562057495117,0.6571275234222425,-0.8512408695274833
AAGCN,base,0.7,2,39.09590148925781,16.997880935668945,68,0,39.09590148925781,16.997880935668945,1.6529316902160645,0.7237186593982475,-0.9632196388298515
AAGCN,base,0.85,0,56.034568786621094,14.534592628479004,68,6,21.52950096130371,8.87965202331543,2.3413476943969727,0.8549450230598467,-1.716754674911499
AAGCN,base,0.85,1,56.530181884765625,14.606691360473633,68,6,20.710315704345703,8.677945137023926,2.8812103271484375,1.074048303062067,-1.1402653455734253
AAGCN,base,0.85,2,52.78131103515625,13.628620147705078,68,6,20.660066604614258,8.667187690734863,2.0105044841766357,0.9959855878543624,-2.559429473353374
AAGCN,envelope,0.55,0,34.415897369384766,15.717374801635742,68,0,34.415897369384766,15.717374801635742,0.9487934112548828,0.5287127542495752,-1.3086209297180176
AAGCN,envelope,0.55,1,27.971435546875,13.392366409301758,68,0,27.971435546875,13.392366409301758,1.136778473854065,0.6301773118972797,-1.256171464920044
AAGCN,envelope,0.55,2,28.309892654418945,13.237323760986328,68,0,28.309892654418945,13.237323760986328,0.8176442384719849,0.47793305468289843,-0.7110495491135604
AAGCN,envelope,0.7,0,38.12968063354492,16.614025115966797,68,0,38.12968063354492,16.614025115966797,2.0122570991516113,1.2604664003849044,-0.8770988435920994
