arch,increment,origin,seed,RMSE,MAE,n_windows,n_artifact,RMSE_clean,MAE_clean,growth_max,growth_p99,growth_min
persistence,base,0.55,-1,26.882223151529477,13.312745098039215,68,0,26.882223151529477,13.312745098039215,,,
persistence,base,0.7,-1,38.88532915547214,17.15627450980392,68,0,38.88532915547214,17.15627450980392,,,
persistence,base,0.85,-1,68.6183948926748,16.696666666666665,68,6,22.79547681977414,9.18774193548387,,,
AAGCN,base,0.55,0,34.41611099243164,15.717107772827148,68,0,34.41611099243164,15.717107772827148,0.94732666015625,0.527206745147708,-1.3065356016159058
AAGCN,base,0.7,0,40.21187973022461,16.86371612548828,68,0,40.21187973022461,16.86371612548828,1.676634669303894,0.7614565349599872,-1.0553266663304801
AAGCN,base,0.85,0,56.044776916503906,14.536866188049316,68,6,21.533897399902344,8.880562782287598,2.339036226272583,0.8549191421270383,-1.7134841680526733
AAGCN,spatial,0.55,0,34.461639404296875,15.731188774108887,68,0,34.461639404296875,15.731188774108887,0.9425067901611328,0.539701137542725,-1.318076491355896
AAGCN,spatial,0.7,0,40.15158462524414,16.77958869934082,68,0,40.15158462524414,16.77958869934082,1.9370229244232178,0.7372555455543316,-1.1368368120369237
AAGCN,spatial,0.85,0,55.825767517089844,14.478998184204102,68,6,21.41674041748047,8.85040283203125,2.402444362640381,0.853971882559975,-1.7239800691604614
AAGCN,composite,0.55,0,34.464176177978516,15.732330322265625,68,0,34.464176177978516,15.732330322265625,0.9448528289794922,0.5382943212986003,-1.3168070316314697
AAGCN,composite,0.7,0,40.223045349121094,16.78169059753418,68,0,40.223045349121094,16.78169059753418,1.9391875267028809,0.7349418255664624,-1.1397846193489354
AAGCN,composite,0.85,0,55.82992935180664,14.479533195495605,68,6,21.41327476501465,8.8501558303833,2.396885633468628,0.8520287538549504,-1.721923589706421
AAGCN,outbreak_aware,0.55,0,29.70931053161621,14.430147171020508,68,0,29.70931053161621,14.430147171020508,1.5865161418914795,0.7921413409709939,-0.9396371841430664
AAGCN,outbreak_aware,0.7,0,37.291255950927734,16.5307559967041,68,0,37.291255950927734,16.5307559967041,2.2051844596862793,0.7581791476160291,-1.2410370707511902
AAGCN,outbreak_aware,0.85,0,63.8962287902832,15.656497955322266,68,6,23.220317840576172,9.305874824523926,2.48797607421875,1.3067105764150628,-1.9488929767974126
STGAT,base,0.55,0,26.894554138183594,13.35927677154541,68,0,26.894554138183594,13.35927677154541,0.02904224395751953,0.02904224395751953,-0.030051708221435547
