district,covariate,lag,r
Colombo,era5_temperature_2m_mean,17,0.09567722423564223
Colombo,era5_temperature_2m_mean,18,0.07095314612448905
Colombo,era5_temperature_2m_mean,19,0.07802964312991971
Colombo,era5_temperature_2m_mean,20,0.056911030106574924
Galle,era5_temperature_2m_mean,2,-0.08888388742926231
Galle,era5_temperature_2m_mean,3,-0.0809007344360531
Galle,era5_temperature_2m_mean,4,-0.046505159672782
Galle,era5_temperature_2m_mean,5,-0.029111556964821716
Galle,era5_temperature_2m_mean,6,0.010479391804551982
Galle,era5_temperature_2m_mean,7,0.03873920240862125
Galle,era5_temperature_2m_mean,8,0.04083369305375765
Galle,era5_temperature_2m_mean,9,0.06034339712900022
Galle,era5_temperature_2m_mean,10,0.06643369445093356
Galle,era5_temperature_2m_mean,11,0.11204877929551033
Galle,era5_temperature_2m_mean,12,0.11866532792627618
Galle,era5_temperature_2m_mean,13,0.15681539284250579
Galle,era5_temperature_2m_mean,14,0.17749168683332323
Galle,era5_temperature_2m_mean,15,0.19771121855703047
Galle,era5_temperature_2m_mean,16,0.20809951566266593
Galle,era5_temperature_2m_mean,17,0.19918195541540104
Galle,era5_temperature_2m_mean,18,0.1907696797021819
Galle,era5_temperature_2m_mean,19,0.13857545569792606
Galle,era5_temperature_2m_mean,20,0.14028421388750817
Gampaha,era5_temperature_2m_mean,2,-0.1320926040024761
Gampaha,era5_temperature_2m_mean,3,-0.16821689868730239
Gampaha,era5_temperature_2m_mean,4,-0.1885490750413262
Gampaha,era5_temperature_2m_mean,5,-0.20477786705316983
Gampaha,era5_temperature_2m_mean,6,-0.2381331364925155
Gampaha,era5_temperature_2m_mean,7,-0.25752700938432377
Gampaha,era5_temperature_2m_mean,8,-0.23861194587587647
Gampaha,era5_temperature_2m_mean,9,-0.24400455808920463
Gampaha,era5_temperature_2m_mean,10,-0.19820680814037275
Gampaha,era5_temperature_2m_mean,11,-0.18354782601987737
Gampaha,era5_temperature_2m_mean,12,-0.14604581896862534
Gampaha,era5_temperature_2m_mean,13,-0.09135493755670342
Gampaha,era5_temperature_2m_mean,14,-0.062231924281344705
